Tamanho do grafo: 10, Tamanho da população: 100, Qtde. anos: 100, Tentativa: 1, Melhor solução: 32
Tamanho do grafo: 10, Tamanho da população: 100, Qtde. anos: 100, Tentativa: 2, Melhor solução: 35
Tamanho do grafo: 10, Tamanho da população: 100, Qtde. anos: 100, Tentativa: 3, Melhor solução: 32
Tamanho do grafo: 10, Tamanho da população: 100, Qtde. anos: 500, Tentativa: 1, Melhor solução: 25
Tamanho do grafo: 10, Tamanho da população: 100, Qtde. anos: 500, Tentativa: 2, Melhor solução: 27
Tamanho do grafo: 10, Tamanho da população: 100, Qtde. anos: 500, Tentativa: 3, Melhor solução: 25
Tamanho do grafo: 10, Tamanho da população: 100, Qtde. anos: 1000, Tentativa: 1, Melhor solução: 23
Tamanho do grafo: 10, Tamanho da população: 100, Qtde. anos: 1000, Tentativa: 2, Melhor solução: 23
Tamanho do grafo: 10, Tamanho da população: 100, Qtde. anos: 1000, Tentativa: 3, Melhor solução: 25
Tamanho do grafo: 10, Tamanho da população: 500, Qtde. anos: 100, Tentativa: 1, Melhor solução: 23
Tamanho do grafo: 10, Tamanho da população: 500, Qtde. anos: 100, Tentativa: 2, Melhor solução: 27
Tamanho do grafo: 10, Tamanho da população: 500, Qtde. anos: 100, Tentativa: 3, Melhor solução: 28
Tamanho do grafo: 10, Tamanho da população: 500, Qtde. anos: 500, Tentativa: 1, Melhor solução: 23
Tamanho do grafo: 10, Tamanho da população: 500, Qtde. anos: 500, Tentativa: 2, Melhor solução: 23
Tamanho do grafo: 10, Tamanho da população: 500, Qtde. anos: 500, Tentativa: 3, Melhor solução: 23
Tamanho do grafo: 10, Tamanho da população: 500, Qtde. anos: 1000, Tentativa: 1, Melhor solução: 23
Tamanho do grafo: 10, Tamanho da população: 500, Qtde. anos: 1000, Tentativa: 2, Melhor solução: 23
Tamanho do grafo: 10, Tamanho da população: 500, Qtde. anos: 1000, Tentativa: 3, Melhor solução: 23
Tamanho do grafo: 10, Tamanho da população: 1000, Qtde. anos: 100, Tentativa: 1, Melhor solução: 25
Tamanho do grafo: 10, Tamanho da população: 1000, Qtde. anos: 100, Tentativa: 2, Melhor solução: 25
Tamanho do grafo: 10, Tamanho da população: 1000, Qtde. anos: 100, Tentativa: 3, Melhor solução: 23
Tamanho do grafo: 10, Tamanho da população: 1000, Qtde. anos: 500, Tentativa: 1, Melhor solução: 23
Tamanho do grafo: 10, Tamanho da população: 1000, Qtde. anos: 500, Tentativa: 2, Melhor solução: 23
Tamanho do grafo: 10, Tamanho da população: 1000, Qtde. anos: 500, Tentativa: 3, Melhor solução: 23
Tamanho do grafo: 10, Tamanho da população: 1000, Qtde. anos: 1000, Tentativa: 1, Melhor solução: 23
Tamanho do grafo: 10, Tamanho da população: 1000, Qtde. anos: 1000, Tentativa: 2, Melhor solução: 23
Tamanho do grafo: 10, Tamanho da população: 1000, Qtde. anos: 1000, Tentativa: 3, Melhor solução: 23
Tamanho do grafo: 250, Tamanho da população: 100, Qtde. anos: 100, Tentativa: 1, Melhor solução: 10864160
Tamanho do grafo: 250, Tamanho da população: 100, Qtde. anos: 100, Tentativa: 2, Melhor solução: 11122186
Tamanho do grafo: 250, Tamanho da população: 100, Qtde. anos: 100, Tentativa: 3, Melhor solução: 11014904
Tamanho do grafo: 250, Tamanho da população: 100, Qtde. anos: 500, Tentativa: 1, Melhor solução: 10709551
Tamanho do grafo: 250, Tamanho da população: 100, Qtde. anos: 500, Tentativa: 2, Melhor solução: 10567881
Tamanho do grafo: 250, Tamanho da população: 100, Qtde. anos: 500, Tentativa: 3, Melhor solução: 10886483
Tamanho do grafo: 250, Tamanho da população: 100, Qtde. anos: 1000, Tentativa: 1, Melhor solução: 10702376
